#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163505.787;20180524-163427.922;48.059425; 8.202207;34.0;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163506.249;20180524-163427.922;48.059430; 8.202207;34.0;313.5;313.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163506.749;20180524-163427.922;48.059435; 8.202207;34.0;349.1;349.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163507.254;20180524-163427.922;48.059440; 8.202207;34.0;308.9;308.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163507.757;20180524-163427.922;48.059445; 8.202207;34.0;336.6;336.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163508.256;20180524-163427.922;48.059450; 8.202207;34.0;288.9;288.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163508.757;20180524-163427.922;48.059455; 8.202207;34.0;325.7;325.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163509.258;20180524-163427.922;48.059460; 8.202207;34.0;309.8;309.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163509.760;20180524-163427.922;48.059465; 8.202207;34.0;328.4;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163510.256;20180524-163510.533;48.059470; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163511.256;20180524-163510.533;48.059475; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163512.256;20180524-163510.533;48.059480; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163513.256;20180524-163510.533;48.059485; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163514.256;20180524-163510.533;48.059490; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163515.256;20180524-163510.533;48.059495; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163516.256;20180524-163510.533;48.059500; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163517.256;20180524-163510.533;48.059505; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163518.256;20180524-163510.533;48.059510; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163519.256;20180524-163510.533;48.059515; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163520.256;20180524-163510.533;48.059520; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163521.256;20180524-163510.533;48.059525; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163522.256;20180524-163510.533;48.059530; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163523.256;20180524-163510.533;48.059535; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163524.256;20180524-163510.533;48.059540; 8.202207;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
